"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17528","PD-9_CXT-2281_Product Payment Options ""Alışveriş Kredisi""","","Mon Aug 25 10:03:12 TRT 2025","passed","Mon Aug 25 10:03:30 TRT 2025","","PD-9_CXT-2281_Product Payment Options <data>","",""
"","63870","CU_CXT-156_Add Address Individual Control ""Hatalı TC Kimlik numarası""","","Mon Aug 25 09:52:39 TRT 2025","passed","Mon Aug 25 09:53:42 TRT 2025","","CU_CXT-156_Add Address Individual Control <data>","",""
"","9521","PD-50_CXT-1297_Home Page Robotstxt File Control","","Mon Aug 25 09:30:46 TRT 2025","passed","Mon Aug 25 09:30:56 TRT 2025","","PD-50_CXT-1297_Home Page Robotstxt File Control","",""
"","52101","CU_CXT-149-151_Account Update Phone Number Control ""Boş Giriş Kontrol""","","Mon Aug 25 09:42:51 TRT 2025","passed","Mon Aug 25 09:43:43 TRT 2025","","CU_CXT-149-151_Account Update Phone Number Control <data>","",""
"","49773","CU_CXT-154_Remove Address","","Mon Aug 25 09:46:55 TRT 2025","passed","Mon Aug 25 09:47:44 TRT 2025","","CU_CXT-154_Remove Address","",""
"","18133","CU_CXT-253_Landing Page Brands ""Braun""","","Mon Aug 25 09:58:16 TRT 2025","passed","Mon Aug 25 09:58:34 TRT 2025","","CU_CXT-253_Landing Page Brands <data>","",""
"","22200","CU_CXT-253_Landing Page Brands ""Xiaomi""","","Mon Aug 25 09:58:34 TRT 2025","passed","Mon Aug 25 09:58:56 TRT 2025","","CU_CXT-253_Landing Page Brands <data>","",""
"","21743","CU_CXT-142_Register Fields Control ""Soyad Sessiz Harf Kontrol""","","Mon Aug 25 09:21:54 TRT 2025","passed","Mon Aug 25 09:22:15 TRT 2025","","CU_CXT-142_Register Fields Control <data>","",""
"","33743","PD_Basket Add Perfect Combination","","Mon Aug 25 09:31:42 TRT 2025","passed","Mon Aug 25 09:32:16 TRT 2025","","PD_Basket Add Perfect Combination","",""
"","52797","CU_CXT-148_Account Update User Name Surname Control ""Soyad Min Karakter Kontrol""","","Mon Aug 25 09:39:25 TRT 2025","passed","Mon Aug 25 09:40:18 TRT 2025","","CU_CXT-148_Account Update User Name Surname Control <data>","",""
"","22124","CU_CXT-142_Register Fields Control ""Soyad Fazla Karakter""","","Mon Aug 25 09:21:43 TRT 2025","passed","Mon Aug 25 09:22:05 TRT 2025","","CU_CXT-142_Register Fields Control <data>","",""
"","30049","PD-14/PD-58_CXT-2286_CXT-101_Product Listing Page Different Vendor Facet Control","","Mon Aug 25 09:29:01 TRT 2025","passed","Mon Aug 25 09:29:31 TRT 2025","","PD-14/PD-58_CXT-2286_CXT-101_Product Listing Page Different Vendor Facet Control","",""
"","21839","PD-60_CXT-198_Search Best Matches PDP ""ayfon""","","Mon Aug 25 09:24:56 TRT 2025","passed","Mon Aug 25 09:25:18 TRT 2025","","PD-60_CXT-198_Search Best Matches PDP <data>","",""
"","15124","CU_CXT-252_Landing Page Links 12.LinkKontrol","","Mon Aug 25 10:00:44 TRT 2025","passed","Mon Aug 25 10:00:59 TRT 2025","","CU_CXT-252_Landing Page Links <data>","",""
"","51658","CU_CXT-133-134_Register Contract Control","","Mon Aug 25 09:23:00 TRT 2025","passed","Mon Aug 25 09:23:52 TRT 2025","","CU_CXT-133-134_Register Contract Control","",""
"","68131","PD_Basket Adding Complete With Items","","Mon Aug 25 09:32:16 TRT 2025","failed","Mon Aug 25 09:33:24 TRT 2025","","PD_Basket Adding Complete With Items","",""
"","25321","PD-38_CXT-198_Home Page Search Box Control","","Mon Aug 25 09:30:21 TRT 2025","passed","Mon Aug 25 09:30:46 TRT 2025","","PD-38_CXT-198_Home Page Search Box Control","",""
"","22318","CU_CXT-143_Facebook Login Control","","Mon Aug 25 09:20:22 TRT 2025","passed","Mon Aug 25 09:20:44 TRT 2025","","CU_CXT-143_Facebook Login Control","",""
"","27335","CU_CXT-142_Register Fields Control ""Ad Eksik Karakter""","","Mon Aug 25 09:20:32 TRT 2025","passed","Mon Aug 25 09:21:00 TRT 2025","","CU_CXT-142_Register Fields Control <data>","",""
"","24892","CH-22 Basket Campaigns Filters Control ""Alt Kategori 1""","","Mon Aug 25 09:31:11 TRT 2025","passed","Mon Aug 25 09:31:36 TRT 2025","","CH-22 Basket Campaigns Filters Control <data>","",""
"","33183","PD-24_Product Listing Page Price Control","","Mon Aug 25 09:29:31 TRT 2025","failed","Mon Aug 25 09:30:04 TRT 2025","","PD-24_Product Listing Page Price Control","",""
"","22459","PD-6_CXT-174_Category Outlet PDP Control 1","","Mon Aug 25 09:30:48 TRT 2025","passed","Mon Aug 25 09:31:11 TRT 2025","","PD-6_CXT-174_Category Outlet PDP Control <data>","",""
"","39559","CU_OR-2_CXT-163-165_Order Detail Page Summary Control","","Mon Aug 25 09:55:52 TRT 2025","passed","Mon Aug 25 09:56:32 TRT 2025","","CU_OR-2_CXT-163-165_Order Detail Page Summary Control","",""
"","51768","CU_CXT-149-151_Account Update Phone Number Control ""Harf Giriş Kontrol""","","Mon Aug 25 09:42:12 TRT 2025","passed","Mon Aug 25 09:43:03 TRT 2025","","CU_CXT-149-151_Account Update Phone Number Control <data>","",""
"","25564","CU_CXT-253_Landing Page Brands ""Asus""","","Mon Aug 25 09:58:35 TRT 2025","passed","Mon Aug 25 09:59:01 TRT 2025","","CU_CXT-253_Landing Page Brands <data>","",""
"","25290","CU_CXT-253_Landing Page Brands ""Philips""","","Mon Aug 25 09:58:30 TRT 2025","passed","Mon Aug 25 09:58:55 TRT 2025","","CU_CXT-253_Landing Page Brands <data>","",""
"","50373","CU_CXT-148_Account Update User Name Surname Control ""Soyad Başında Boşluk""","","Mon Aug 25 09:41:02 TRT 2025","passed","Mon Aug 25 09:41:53 TRT 2025","","CU_CXT-148_Account Update User Name Surname Control <data>","",""
"","21842","CU_CXT-142_Register Fields Control ""Ad Sessiz Harf Kontrol""","","Mon Aug 25 09:21:00 TRT 2025","passed","Mon Aug 25 09:21:21 TRT 2025","","CU_CXT-142_Register Fields Control <data>","",""
"","20295","PD-4_CXT-170_Product Detail Page Discounted Products Control","","Mon Aug 25 09:35:31 TRT 2025","passed","Mon Aug 25 09:35:51 TRT 2025","","PD-4_CXT-170_Product Detail Page Discounted Products Control","",""
"","32951","PD-18_PD-30_CXT-2015_CXT-191_Product Description","","Mon Aug 25 10:02:38 TRT 2025","passed","Mon Aug 25 10:03:11 TRT 2025","","PD-18_PD-30_CXT-2015_CXT-191_Product Description","",""
"","97123","CU_CXT-150_Account Update Password PROD","","Mon Aug 25 09:43:03 TRT 2025","failed","Mon Aug 25 09:44:40 TRT 2025","","CU_CXT-150_Account Update Password PROD","",""
"","21596","CU_CXT-253_Landing Page Brands ""Samsung""","","Mon Aug 25 09:58:09 TRT 2025","passed","Mon Aug 25 09:58:30 TRT 2025","","CU_CXT-253_Landing Page Brands <data>","",""
"","30630","PD-29_CXT-190_Product Find In Store","","Mon Aug 25 10:05:13 TRT 2025","passed","Mon Aug 25 10:05:43 TRT 2025","","PD-29_CXT-190_Product Find In Store","",""
"","16136","CU_CXT-252_Landing Page Links 9.LinkKontrol","","Mon Aug 25 10:00:16 TRT 2025","passed","Mon Aug 25 10:00:32 TRT 2025","","CU_CXT-252_Landing Page Links <data>","",""
"","19683","CU_CXT-253_Landing Page Brands ""Apple""","","Mon Aug 25 09:57:49 TRT 2025","passed","Mon Aug 25 09:58:09 TRT 2025","","CU_CXT-253_Landing Page Brands <data>","",""
"","20136","CU_CXT-252_Landing Page Links 15.LinkKontrol","","Mon Aug 25 10:01:12 TRT 2025","passed","Mon Aug 25 10:01:32 TRT 2025","","CU_CXT-252_Landing Page Links <data>","",""
"","65711","CU_CXT-156_Add Address Individual Control ""Adres Başlığını giriniz""","","Mon Aug 25 09:48:07 TRT 2025","passed","Mon Aug 25 09:49:12 TRT 2025","","CU_CXT-156_Add Address Individual Control <data>","",""
"","24331","PD-60_CXT-198_Search Best Matches PDP ""buzdo""","","Mon Aug 25 09:25:41 TRT 2025","passed","Mon Aug 25 09:26:06 TRT 2025","","PD-60_CXT-198_Search Best Matches PDP <data>","",""
"","18731","CU_CXT-252_Landing Page Links 1.LinkKontrol","","Mon Aug 25 09:59:19 TRT 2025","passed","Mon Aug 25 09:59:38 TRT 2025","","CU_CXT-252_Landing Page Links <data>","",""
"","22933","CU_CXT-142_Register Fields Control ""Ad Başında Boşluk""","","Mon Aug 25 09:21:09 TRT 2025","passed","Mon Aug 25 09:21:31 TRT 2025","","CU_CXT-142_Register Fields Control <data>","",""
"","26302","PD-44_CXT-2295_Search Box Brands ""120070255""","","Mon Aug 25 09:27:43 TRT 2025","passed","Mon Aug 25 09:28:09 TRT 2025","","PD-44_CXT-2295_Search Box Brands <data>","",""
"","27702","CU_CXT-250_Landing Page Banner Control","","Mon Aug 25 10:01:30 TRT 2025","passed","Mon Aug 25 10:01:58 TRT 2025","","CU_CXT-250_Landing Page Banner Control","",""
"","61351","CU_CXT-156_Add Address Individual Control ""Hatalı Telefon Numarası""","","Mon Aug 25 09:50:17 TRT 2025","passed","Mon Aug 25 09:51:19 TRT 2025","","CU_CXT-156_Add Address Individual Control <data>","",""
"","21736","CU_CXT-142_Register Fields Control ""Ad Boş Kontrol""","","Mon Aug 25 09:20:25 TRT 2025","passed","Mon Aug 25 09:20:46 TRT 2025","","CU_CXT-142_Register Fields Control <data>","",""
"","27196","CU_CXT-135_Register Success Control ""Özel Şifre""","","Mon Aug 25 09:23:12 TRT 2025","passed","Mon Aug 25 09:23:40 TRT 2025","","CU_CXT-135_Register Success Control <data>","",""
"","22945","PD-12_CXT-2284_Product Detail Page Product Reviews Control ""Değerlendirmeler Dolu""","","Mon Aug 25 09:35:00 TRT 2025","passed","Mon Aug 25 09:35:23 TRT 2025","","PD-12_CXT-2284_Product Detail Page Product Reviews Control <data>","",""
"","27337","PD-6_CXT-174_Category Outlet PDP Control 2","","Mon Aug 25 09:30:52 TRT 2025","passed","Mon Aug 25 09:31:20 TRT 2025","","PD-6_CXT-174_Category Outlet PDP Control <data>","",""
"","28112","PD-22_CXT-2012_Product Detail Page Credit Opportunity Control","","Mon Aug 25 09:34:32 TRT 2025","passed","Mon Aug 25 09:35:00 TRT 2025","","PD-22_CXT-2012_Product Detail Page Credit Opportunity Control","",""
"","57977","CU_CXT-252_Landing Page Links 11.LinkKontrol","","Mon Aug 25 10:00:32 TRT 2025","failed","Mon Aug 25 10:01:30 TRT 2025","","CU_CXT-252_Landing Page Links <data>","",""
"","38376","PD-56_CXT-105_Product Listing Page Clear All Filter","","Mon Aug 25 09:29:15 TRT 2025","passed","Mon Aug 25 09:29:54 TRT 2025","","PD-56_CXT-105_Product Listing Page Clear All Filter","",""
